"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Canadian Rockies 21yo (46%, old label)","9.12","0.29","5","$$$$","Rye-like","","","Canada","Blend"
"Aberlour A'Bunadh (Batch 33)","9.11","0.14","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.11","0.09","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all 9 batches)","9.11","0.28","17","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.11","0.41","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 25yo","9.11","0.27","19","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.11","0.47","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Redbreast 21yo","9.11","0.29","17","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Ledaig 42yo","9.11","0.47","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 9.3","9.11","0.19","9","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 12yo Cask Strength","9.11","0.16","23","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.11","0.24","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Willett Family Estate 24yo Bourbon","9.11","0.35","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Amrut Greedy Angels (8yo and 10yo)","9.10","0.16","9","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Yamazaki 18yo","9.1","0.24","21","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Midleton Dair Ghaelach","9.10","0.28","9","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"High West Rocky Mountain Rye 16yo","9.10","0.33","6","$$$$$","Rye-like","","R4","USA","Rye"
"Aberlour A'Bunadh (Batch 40)","9.09","0.13","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist PX Cask","9.09","0.53","8","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Tamdhu 30yo (MacPhail Collection 2009)","9.09","0.12","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bruichladdich Black Art 3.x 1989","9.09","0.40","12","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Midleton Very Rare 2017","9.09","0.29","4","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Black Bull 40yo","9.09","0.34","12","$$$$$+","Scotch-like","","","Scotland","Blend"
"Barrell Bourbon Batch 015","9.09","0.28","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Compass Box Last Vatted Malt","9.08","0.14","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Peated Single Malt Cask Strength","9.08","0.28","13","$$$$","SingleMalt-like","J","J","India","Malt"
"Smooth Ambler Old Scout Single Barrel Rye","9.08","0.18","3","$$$$","Rye-like","","R4","USA","Rye"
"Parker’s Heritage 4th 10yo Wheated Mash Bill Bourbon","9.08","0.22","5","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Aberlour A'Bunadh (Batch 49)","9.07","0.21","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.07","0.17","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.07","0.28","19","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.07","0.18","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.07","0.19","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"J.P. Wiser's 35yo (2018)","9.07","0.20","5","$$$$$","Rye-like","","","Canada","Rye"
"Barrell Bourbon Batch 006","9.07","0.52","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Parker’s Heritage 5th 10yo Cognac Barrel Finished","9.07","0.39","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Bowmore Springtide","9.06","0.65","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Odin","9.06","0.27","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.06","0.3","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Glencadam 25yo","9.06","0.03","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Scotia 25yo","9.06","0.08","3","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Port Ellen 12th release 32yo","9.06","0.48","10","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg Supernova 2014","9.06","0.31","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lot 40 Cask Strength 12yo (2017)","9.06","0.25","13","$$$$","Rye-like","","","Canada","Rye"
"Aberlour A'Bunadh (Batch 52)","9.05","0.27","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Vinho Barrique","9.05","0.20","15","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Timorous Beastie 21yo Sherry Edition","9.05","0.21","3","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfiddich 30yo","9.05","0.11","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Springbank 11yo Local Barley","9.05","0.21","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Octomore 8.2","9.05","0.17","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 8.3","9.05","0.15","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)","9.05","0.24","5","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Four Roses Small Batch Limited Edition","9.05","0.20","17","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Michter's 20yo Single Barrel Bourbon","9.05","0.42","5","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Aberlour A'Bunadh (Batch 53)","9.04","0.13","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.04","0.21","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.04","0.18","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich 21yo Cuvée 407 PX","9.04","0.19","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 1)","9.04","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 17yo The Dark","9.04","0.36","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 18yo","9.04","0.26","26","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast 12yo Cask Strength","9.04","0.29","20","$$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Compass Box Flaming Heart 2008 2nd Edition","9.04","0.27","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary","9.04","0.34","18","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg Corryvreckan","9.04","0.32","23","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"High West Midwinter Night’s Dram Rye","9.04","0.15","14","$$$$$","Rye-like","","R4","USA","Rye"
"Parker’s Heritage 6th Blend of Mashbills","9.04","0.12","6","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Amrut Madeira Cask Finish (Batch 1)","9.03","0.14","3","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.03","0.23","24","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Canadian Club 41yo Chronicles No. 1","9.03","0.30","8","$$$$$","Rye-like","","","Canada","Blend"
"Van Winkle Family Reserve Rye 13yo","9.03","0.45","10","$$$$$+","Rye-like","","R4","USA","Rye"
"Wild Turkey Master's Keep Decades","9.03","0.17","8","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 8yo Bourbon","9.03","0.06","3","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Aberlour A'Bunadh (Batch 58)","9.02","0.14","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bruichladdich Black Art 2.x 1989","9.02","0.16","8","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Highland Park Sigurd","9.02","0.32","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg Alligator","9.02","0.18","15","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Ardbog","9.02","0.44","20","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.3","9.02","0.51","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow 18yo","9.02","0.30","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.01","0.21","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Karuizawa 1990 Sherry Butt","9.01","0.28","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Kavalan Solist Amontillado Cask","9.01","0.25","8","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Cragganmore 25yo","9.01","0.04","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Compass Box No Name","9.01","0.19","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Smogen 8yo (4,8-10/2011)","9.01","0.31","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"J.P. Wiser's 35yo (2017)","9.01","0.42","14","$$$$$","Rye-like","","","Canada","Rye"
"J.P. Wiser's Alumni Series Wendel Clark 11yo","9.01","0.09","5","$$","Rye-like","","","Canada","Rye"
"Amrut Spectrum (all batches)","9.00","0.41","13","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Glenrothes 25yo","9.00","0.37","4","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Manzanilla Cask","9.00","0.18","8","$$$$$+","SingleMalt-like","ABC","C","Taiwan","Malt"
"Kilchoman Port Cask Matured","9.00","0.20","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Double Cask","9.00","0.17","10","$$$$","SingleMalt-like","EF","E","India","Malt"
"Mackmyra Reserve Single Cask (various casks)","9.00","0.50","7","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Laphroaig 18yo","9.00","0.27","21","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"J.P. Wiser's Dissertation","9.00","0.27","11","$$$","Rye-like","","","Canada","Blend"
"Barrell Bourbon Batch 011","9.00","0.24","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Aberlour A'Bunadh (Batch 45)","8.99","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt 21st Anniversary Edition","8.99","0.17","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bladnoch 12yo Sherry Cask (Sheep label)","8.99","0.25","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach vintage 20yo Single Cask (all vintages)","8.99","0.35","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Loki","8.99","0.25","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Compass Box Flaming Heart (all editions)","8.99","0.29","23","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 15yo","8.99","0.21","17","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Ardbeg Supernova 2015","8.99","0.31","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10 (Second Edition)","8.99","0.22","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 2008 Vintage","8.99","0.18","6","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Crown Royal Noble Collection Blender's Mash 13yo","8.99","0.35","3","$$$","Rye-like","","","Canada","Blend"
"Barrell Bourbon Batch 019","8.99","0.04","3","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Aberlour A'Bunadh (Batch 35)","8.98","0.23","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Signet","8.98","0.38","22","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Taketsuru 21yo","8.98","0.28","18","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Timorous Beastie 40yo Cask Strength","8.98","0.28","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich Octomore 7.1","8.98","0.27","14","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ichiro's Malt Chichibu The Peated","8.98","0.35","11","$$$$$+","SingleMalt-like","J","J","Japan","Malt"
"Canadian Rockies 21yo (all editions)","8.98","0.32","7","$$$$","Rye-like","","","Canada","Blend"
"William Heavenhill BiB","8.98","0.14","6","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Aberlour A'Bunadh (Batch 36)","8.97","0.49","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Portonova","8.97","0.31","19","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut PX Sherry Single Cask 2696 (LCBO)","8.97","0.30","6","$$$$$","SingleMalt-like","ABC","B","India","Malt"
"Bunnahabhain 18yo","8.97","0.20","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Virgin Oak Single Cask","8.97","0.18","4","$$$$","SingleMalt-like","EF","E","India","Malt"
"Aultmore 25yo","8.97","0.22","5","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Limited Edition 2015","8.97","0.09","3","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Oban 21yo","8.97","0.21","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"AnCnoc Cutter","8.97","0.48","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box No Name (all editions)","8.97","0.18","12","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster 2014 - 10th Anniversary","8.97","0.29","12","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Original Cask Strength","8.97","0.40","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Canadian Club 30yo","8.97","0.18","6","$$$$$","Rye-like","","","Canada","Blend"
"Canadian Rockies 35yo","8.97","0.32","3","$$$$$+","Rye-like","","","Canada","Blend"
"Wild Turkey Master's Keep Revival","8.97","0.28","5","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate Bourbon (all ages)","8.97","0.26","16","$$$$","Bourbon-like","","R2","USA","Bourbon"
"BenRiach 17yo Solstice Peated Port (both editions)","8.96","0.29","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 15yo Laimrig","8.96","0.18","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 21yo","8.96","0.24","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Compass Box 3yo Deluxe","8.96","0.23","9","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Highland Park 17yo The Light","8.96","0.28","7","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 Tro Na Linntean","8.96","0.42","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1994","8.96","0.38","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilkerran 8yo Cask Strength","8.96","0.20","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 25yo","8.96","0.26","18","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman 2009 Vintage","8.96","0.11","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Michter's Barrel Strength Rye","8.96","0.17","7","$$$$","Rye-like","","R4","USA","Rye"
"Amrut Spectrum 004 (Batch 2)","8.95","0.47","9","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Bushmills 21yo Single Malt","8.95","0.37","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Glenlivet Alpha","8.95","0.10","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Compass Box Phenomenology","8.95","0.38","9","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Mortlach 16yo","8.95","0.16","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Garioch 1995","8.95","0.31","11","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardbeg 17yo","8.95","0.32","8","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo Cask Strength (all batches)","8.95","0.33","21","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Forty Creek Unity","8.95","0.29","4","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Legacy","8.95","0.37","16","$$","Rye-like","","","Canada","Blend"
"Little Book Chapter 2 Noe Simple Task","8.95","0.21","11","$$$$","Rye-like","","","USA","Blend"
"Aberlour A'Bunadh (Batch 30)","8.94","0.18","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 54)","8.94","0.17","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 3)","8.94","0.37","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.94","0.33","16","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Hakushu Sherry Cask","8.94","0.46","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Kavalan Solist Port Cask","8.94","0.38","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Old Pulteney 25yo","8.94","0.19","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Two Brewers Release 07 Peated","8.94","0.32","5","$$$$","SingleMalt-like","I","I","Canada","Malt"
"Amrut Portpipe Peated Single Cask #2712 (2013)","8.94","0.11","3","$$$$","SingleMalt-like","J","J","India","Malt"
"Kilchoman 2007 Vintage","8.94","0.29","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","8.94","0.21","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Canadian Club 40yo","8.94","0.42","12","$$$$$","Rye-like","","","Canada","Blend"
"Barrell Bourbon New Years Batch 2018","8.94","0.26","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Barrell Bourbon New Years (all Batches)","8.94","0.27","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.93","0.42","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Cask Strength","8.93","0.36","16","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Bruichladdich Black Art 5.x 1992","8.93","0.31","8","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Craigellachie 23yo","8.93","0.21","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Yamazaki Mizunara","8.93","0.21","8","$$$$$+","SingleMalt-like","EF","E","Japan","Malt"
"Glen Garioch 1991","8.93","0.19","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Bourbon Single Cask","8.93","0.23","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 13yo Amontillado Cask Finish","8.93","0.25","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Tomatin Cu Bocan 1989 Limited Edition","8.93","0.29","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Smogen Single Cask (all editions)","8.93","0.13","5","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Compass Box Hedonism Quindecimus","8.93","0.41","8","$$$$$","Scotch-like","","","Scotland","Blend"
"Gibson's Finest Rare 18yo","8.93","0.30","10","$$$$","Rye-like","","","Canada","Blend"
"Stagg Jr batch 4 (132.2 proof)","8.93","0.27","5","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 7yo Bourbon","8.93","0.32","3","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Aberlour A'Bunadh (all batches)","8.92","0.15","26","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 47)","8.92","0.32","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (all 3 batches)","8.92","0.17","13","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenlivet XXV 25yo","8.92","0.19","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Fino Sherry Cask","8.92","0.33","12","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Tomatin 40yo","8.92","0.36","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin Decades","8.92","0.53","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
